year	depto	letra	clae2_desc	puestos
2014	Gualeguay	B	Extracción de minerales metálicos	NA
2014	Gualeguay	B	Extracción de otros minerales	10
2014	Gualeguay	B	Extracción de petróleo crudo y gas natural	NA
2014	Gualeguay	C	Elaboracion de productos farmacéuticos	3
2014	Gualeguay	C	Elaboración de bebidas	8
2014	Gualeguay	C	Elaboración de prendas de vestir	4
2014	Gualeguay	C	Elaboración de productos alimenticios	1459
2014	Gualeguay	C	Elaboración de productos de cuero y calzado	27
2014	Gualeguay	C	Elaboración de productos de madera	8
2014	Gualeguay	C	Elaboración de productos de papel	5
2014	Gualeguay	C	Elaboración de productos textiles	3
2014	Gualeguay	C	Fabricación de equipo eléctrico	10
2014	Gualeguay	C	Fabricación de maquinarias	NA
2014	Gualeguay	C	Fabricación de metales comunes	4
2014	Gualeguay	C	Fabricación de muebles	3
2014	Gualeguay	C	Fabricación de otros equipos de transporte	6
2014	Gualeguay	C	Fabricación de productos de caucho y vidrio	11
2014	Gualeguay	C	Fabricación de productos de informática, de electrónica y de óptica	3
2014	Gualeguay	C	Fabricación de productos de vidrio y otros minerales no metálicos	4
2014	Gualeguay	C	Fabricación de productos elaborados del metal, excepto maquinaria y equipo	74
2014	Gualeguay	C	Fabricación de sustancias químicas	9
2014	Gualeguay	C	Fabricación de vehículos automotores, remolques y semirremolques	21
2014	Gualeguay	C	Imprentas y editoriales	3
2014	Gualeguay	C	Otras industrias manufactureras	4
2014	Gualeguay	C	Reparación e instalación de maquinaria y equipo	3
2014	Gualeguay	D	Suministro de electricidad, gas, vapor y aire acondicionado	25
2014	Gualeguay	E	Captación, tratamiento y distribución de agua	8
2014	Gualeguay	E	Recogida, tratamiento y eliminación de desechos; recuperación de materiales	43
2014	Gualeguay	F	Actividades especializadas de construcción 	38
2014	Gualeguay	F	Construcción de edificios y partes	88
2014	Gualeguay	F	Obras de ingeniería civil	342
2014	Gualeguay	G	Comercio al por mayor excepto autos y motos	379
2014	Gualeguay	G	Comercio al por mayor y al por menor y reparación de vehículos automotores y motos	56
2014	Gualeguay	G	Comercio al por menor excepto autos y motos	623
2014	Gualeguay	H	Almacenamiento y actividades de apoyo al transporte	17
2014	Gualeguay	H	Servicio de correo y mensajería	17
2014	Gualeguay	H	Transporte acuático	3
2014	Gualeguay	H	Transporte aéreo	NA
2014	Gualeguay	H	Transporte terrestre y por tuberías	270
2014	Gualeguay	I	Servicios de alojamiento	25
2014	Gualeguay	I	Servicios de expendio de alimentos y bebidas	70
2014	Gualeguay	J	Actividades de procesamiento de información	NA
2014	Gualeguay	J	Edición	13
2014	Gualeguay	J	Programación y transmisiones de TV y radio	45
2014	Gualeguay	J	Servicios audiovisuales	NA
2014	Gualeguay	J	Servicios de programación, consultoría informática y actividades conexas	13
2014	Gualeguay	J	Telecomunicaciones	9
2014	Gualeguay	K	Servicios auxiliares de la actividad financiera y de seguros	12
2014	Gualeguay	K	Servicios de seguros, reaseguros y pensiones	56
